queue_name,review_volume,review_volume_rate,fraud_captured,fraud_capture_rate,queue_precision,nonfraud_in_queue,avg_score,max_score,amount_sum
top_1pct_review_queue,450,0.01,291,0.44907407407407407,0.6466666666666666,159,0.9593505815349298,0.99907068327453,172733.59000000003
top_3pct_review_queue,1350,0.03,478,0.7376543209876543,0.3540740740740741,872,0.8695416912907452,0.99907068327453,370127.55000000005
top_5pct_review_queue,2250,0.05,557,0.8595679012345679,0.24755555555555556,1693,0.7632596177252833,0.99907068327453,547478.12
top_10pct_review_queue,4500,0.1,608,0.9382716049382716,0.1351111111111111,3892,0.5206214139538733,0.99907068327453,1002227.75
