merchant_category,alert_count,fraud_count,amount_sum,avg_score,precision_within_alerts,alert_share
digital_services,101,85,31300.95,0.9702902177907539,0.8415841584158416,0.18773234200743494
electronics,162,69,63741.95,0.9439099719909815,0.42592592592592593,0.30111524163568776
gaming,2,0,803.6400000000001,0.9044481454434774,0.0,0.0037174721189591076
marketplace,179,118,65735.86,0.9515701675426322,0.659217877094972,0.33271375464684017
travel,94,50,35829.96,0.9417624757296471,0.5319148936170213,0.17472118959107807
